merge_column,Sample,kefir type,Stage,data_source
TG_ID084_WL_T3_S158_host_removed_R1.fastq.gz,ID084,WL,T3,This study
TG_FG_T1_WL_0AN_S327_host_removed_R2.fastq.gz,FG,WL,T0,This study
TG_ID048_ML_T3_S5_host_removed_R1.fastq.gz,ID048,ML,T3,This study
TG_ID060_WG_T3_S97_host_removed_R1.fastq.gz,ID060,WG,T3,This study
TG_ID061_WG_T5_S133_host_removed_R1.fastq.gz,ID061,WG,T5,This study
TG_ID110_WG_T3_S20_host_removed_R1.fastq.gz,ID110,WG,T3,This study
TG_ID088_WG_T3_S183_host_removed_R2.fastq.gz,ID088,WG,T3,This study
TG_ID113_WG_T4_S99_host_removed_R2.fastq.gz,ID113,WG,T4,This study
TG_ID087_WL_T1_S365_host_removed_R2.fastq.gz,ID087,WL,T1,This study
TG_ID037_MG_T6_S69_host_removed_R1.fastq.gz,ID037,MG,T6,This study
TG_ID049_ML_T1_S104_host_removed_R2.fastq.gz,ID049,ML,T1,This study
TG_ID009_MG_T1_S325_host_removed_R2.fastq.gz,ID009,MG,T1,This study
TG_AP_T1_WL_0AE_S350_host_removed_R2.fastq.gz,AP,WL,T0,This study
TG_ID115_MG_T2_S94_host_removed_R1.fastq.gz,ID115,MG,T2,This study
TG_ID050_ML_T3_S156_host_removed_R1.fastq.gz,ID050,ML,T3,This study
TG_ID125_ML_T4_S12_host_removed_R1.fastq.gz,ID125,ML,T4,This study
TG_ID085_WG_T5_S65_host_removed_R2.fastq.gz,ID085,WG,T5,This study
TG_ID036_MG_T4_S9_host_removed_R1.fastq.gz,ID036,MG,T4,This study
TG_ID056_WG_T2_S35_host_removed_R1.fastq.gz,ID056,WG,T2,This study
TG_ID054_ML_T4_S58_host_removed_R2.fastq.gz,ID054,ML,T4,This study
TG_ID061_WG_T6_S157_host_removed_R1.fastq.gz,ID061,WG,T6,This study
TG_SK_MLC2_S191_host_removed_R2.fastq.gz,SK,Medium control,T0,This study
TG_ID086_WL_T1_S353_host_removed_R2.fastq.gz,ID086,WL,T1,This study
TG_ID049_ML_T5_S139_host_removed_R2.fastq.gz,ID049,ML,T5,This study
TG_ID052_MG_T3_S64_host_removed_R2.fastq.gz,ID052,MG,T3,This study
TG_LO_WLC_S119_host_removed_R1.fastq.gz,LO,Medium control,T0,This study
TG_ID085_WG_T2_S123_host_removed_R1.fastq.gz,ID085,WG,T2,This study
TG_ID096_WL_T2_S46_host_removed_R1.fastq.gz,ID096,WL,T2,This study
TG_ID070_WL_T1_S105_host_removed_R1.fastq.gz,ID070,WL,T1,This study
TG_ID053_MG_T3_S89_host_removed_R1.fastq.gz,ID053,MG,T3,This study
TG_ID050_ML_T5_S168_host_removed_R2.fastq.gz,ID050,ML,T5,This study
TG_ID054_MG_T5_S93_host_removed_R1.fastq.gz,ID054,MG,T5,This study
TG_ID042_MG_T5_S165_host_removed_R2.fastq.gz,ID042,MG,T5,This study
TG_FL_T1_WL_0AN_S339_host_removed_R1.fastq.gz,FL,WL,T0,This study
TG_ID107_WG_T2_S136_host_removed_R1.fastq.gz,ID107,WG,T2,This study
TG_ID054_MG_T6_S22_host_removed_R1.fastq.gz,ID054,MG,T6,This study
TG_ID093_WL_T2_S5_host_removed_R2.fastq.gz,ID093,WL,T2,This study
TG_SK_T1_ML_0AN_S61_host_removed_R2.fastq.gz,SK,ML,T0,This study
TG_AP_T1_WL_0AN_S351_host_removed_R2.fastq.gz,AP,WL,T0,This study
TG_ID043_ML_T2_S186_host_removed_R2.fastq.gz,ID043,ML,T2,This study
TG_ID012_MG_T4_S74_host_removed_R2.fastq.gz,ID012,MG,T4,This study
TG_ID083_WL_T4_S40_host_removed_R1.fastq.gz,ID083,WL,T4,This study
TG_ID087_WG_T2_S334_host_removed_R1.fastq.gz,ID087,WG,T2,This study
TG_ID011_MG_T5_S110_host_removed_R1.fastq.gz,ID011,MG,T5,This study
TG_ID010_ML_T5_S120_host_removed_R2.fastq.gz,ID010,ML,T5,This study
TG_ID042_ML_T1_S114_host_removed_R2.fastq.gz,ID042,ML,T1,This study
TG_ID107_WL_T3_S88_host_removed_R2.fastq.gz,ID107,WL,T3,This study
TG_ID096_WL_T5_S92_host_removed_R1.fastq.gz,ID096,WL,T5,This study
TG_ID037_MG_T2_S161_host_removed_R2.fastq.gz,ID037,MG,T2,This study
TG_ID070_WL_T2_S20_host_removed_R2.fastq.gz,ID070,WL,T2,This study
TG_ID070_WL_T5_S44_host_removed_R1.fastq.gz,ID070,WL,T5,This study
TG_ID042_ML_T1_S114_host_removed_R1.fastq.gz,ID042,ML,T1,This study
TG_ID124_MG_T5_S138_host_removed_R2.fastq.gz,ID124,MG,T5,This study
TG_ID037_MG_T6_S69_host_removed_R2.fastq.gz,ID037,MG,T6,This study
TG_ID029_ML_T1_S145_host_removed_R2.fastq.gz,ID029,ML,T1,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID053_ML_T6_S115_host_removed_R2.fastq.gz,ID053,ML,T6,This study
TG_ID092_WG_T6_S80_host_removed_R2.fastq.gz,ID092,WG,T6,This study
TG_ID097_WL_T1_S141_host_removed_R1.fastq.gz,ID097,WL,T1,This study
TG_ID097_WL_T5_S9_host_removed_R2.fastq.gz,ID097,WL,T5,This study
TG_ID103_WG_T5_S18_host_removed_R1.fastq.gz,ID103,WG,T5,This study
TG_ID020_ML_T3_S143_host_removed_R1.fastq.gz,ID020,ML,T3,This study
TG_ID084_WL_T3_S158_host_removed_R1.fastq.gz,ID084,WL,T3,This study
TG_ID020_ML_T4_S144_host_removed_R2.fastq.gz,ID020,ML,T4,This study
TG_ID097_WL_T2_S153_host_removed_R1.fastq.gz,ID097,WL,T2,This study
TG_AP_T2_WG_0AN_S181_host_removed_R1.fastq.gz,AP,WG,T0,This study
TG_ID042_ML_T3_S138_host_removed_R2.fastq.gz,ID042,ML,T3,This study
TG_ID037_MG_T2_S161_host_removed_R2.fastq.gz,ID037,MG,T2,This study
TG_ID026_MG_T3_S130_host_removed_R1.fastq.gz,ID026,MG,T3,This study
TG_ID037_ML_T6_S81_host_removed_R2.fastq.gz,ID037,ML,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID110_WG_T2_S167_host_removed_R2.fastq.gz,ID110,WG,T2,This study
TG_AP_WLC_S420_host_removed_R1.fastq.gz,AP,Medium control,T0,This study
TG_ID036_MG_T6_S91_host_removed_R1.fastq.gz,ID036,MG,T6,This study
TG_ID029_ML_T5_S147_host_removed_R2.fastq.gz,ID029,ML,T5,This study
TG_ID056_WG_T2_S35_host_removed_R2.fastq.gz,ID056,WG,T2,This study
TG_ID110_WL_T1_S173_host_removed_R2.fastq.gz,ID110,WL,T1,This study
TG_ID014_MG_T3_S62_host_removed_R1.fastq.gz,ID014,MG,T3,This study
TG_ID029_MG_T3_S77_host_removed_R2.fastq.gz,ID029,MG,T3,This study
TG_ID061_WG_T3_S104_host_removed_R1.fastq.gz,ID061,WG,T3,This study
TG_ID124_ML_T1_S8_host_removed_R1.fastq.gz,ID124,ML,T1,This study
TG_ID042_ML_T2_S312_host_removed_R2.fastq.gz,ID042,ML,T2,This study
TG_ID070_WL_T5_S44_host_removed_R1.fastq.gz,ID070,WL,T5,This study
TG_ID087_WG_T4_S45_host_removed_R1.fastq.gz,ID087,WG,T4,This study
TG_ID012_MG_T4_S74_host_removed_R1.fastq.gz,ID012,MG,T4,This study
TG_ID060_WL_T2_S187_host_removed_R1.fastq.gz,ID060,WL,T2,This study
TG_ID029_MG_T5_S154_host_removed_R2.fastq.gz,ID029,MG,T5,This study
TG_ID058_WG_T3_S36_host_removed_R1.fastq.gz,ID058,WG,T3,This study
TG_ID012_ML_T1_S367_host_removed_R2.fastq.gz,ID012,ML,T1,This study
TG_ID013_ML_T1_S150_host_removed_R1.fastq.gz,ID013,ML,T1,This study
TG_ID060_WL_T3_S109_host_removed_R1.fastq.gz,ID060,WL,T3,This study
TG_ID070_WL_T5_S44_host_removed_R2.fastq.gz,ID070,WL,T5,This study
TG_ID124_ML_T6_S119_host_removed_R1.fastq.gz,ID124,ML,T6,This study
TG_ID070_WL_T2_S20_host_removed_R2.fastq.gz,ID070,WL,T2,This study
TG_ID053_ML_T4_S116_host_removed_R1.fastq.gz,ID053,ML,T4,This study
TG_ID090_WL_T3_S148_host_removed_R1.fastq.gz,ID090,WL,T3,This study
TG_ID053_ML_T3_S113_host_removed_R1.fastq.gz,ID053,ML,T3,This study
TG_ID011_ML_T5_S122_host_removed_R2.fastq.gz,ID011,ML,T5,This study
TG_ID011_ML_T3_S113_host_removed_R1.fastq.gz,ID011,ML,T3,This study
TG_ID060_WG_T3_S97_host_removed_R1.fastq.gz,ID060,WG,T3,This study
TG_BR_T1_WL_0AN_S363_host_removed_R1.fastq.gz,BR,WL,T0,This study
TG_ID037_ML_T2_S173_host_removed_R2.fastq.gz,ID037,ML,T2,This study
TG_ID029_ML_T2_S16_host_removed_R2.fastq.gz,ID029,ML,T2,This study
TG_ID043_MG_T1_S150_host_removed_R1.fastq.gz,ID043,MG,T1,This study
TG_ID110_WL_T3_S26_host_removed_R2.fastq.gz,ID110,WL,T3,This study
TG_ID048_ML_T2_S148_host_removed_R2.fastq.gz,ID048,ML,T2,This study
TG_BR_T2_WL_0AE_S315_host_removed_R1.fastq.gz,BR,WL,T0,This study
TG_ID092_WG_T6_S80_host_removed_R2.fastq.gz,ID092,WG,T6,This study
TG_ID110_WG_T6_S92_host_removed_R2.fastq.gz,ID110,WG,T6,This study
TG_ID012_MG_T5_S125_host_removed_R1.fastq.gz,ID012,MG,T5,This study
TG_ID061_WG_T3_S104_host_removed_R2.fastq.gz,ID061,WG,T3,This study
TG_ID079_WG_T2_S128_host_removed_R2.fastq.gz,ID079,WG,T2,This study
TG_ID084_WL_T3_S158_host_removed_R2.fastq.gz,ID084,WL,T3,This study
TG_ID049_ML_T6_S33_host_removed_R2.fastq.gz,ID049,ML,T6,This study
TG_ID053_ML_T4_S116_host_removed_R2.fastq.gz,ID053,ML,T4,This study
TG_ID097_WG_T5_S68_host_removed_R1.fastq.gz,ID097,WG,T5,This study
TG_ID037_MG_T5_S45_host_removed_R1.fastq.gz,ID037,MG,T5,This study
TG_ID069_WG_T1_S105_host_removed_R2.fastq.gz,ID069,WG,T1,This study
TG_ID043_ML_T6_S174_host_removed_R2.fastq.gz,ID043,ML,T6,This study
TG_ID053_MG_T1_S359_host_removed_R1.fastq.gz,ID053,MG,T1,This study
TG_ID089_WL_T3_S124_host_removed_R1.fastq.gz,ID089,WL,T3,This study
TG_ID097_WL_T3_S177_host_removed_R1.fastq.gz,ID097,WL,T3,This study
TG_ID092_WG_T3_S58_host_removed_R2.fastq.gz,ID092,WG,T3,This study
TG_ID049_MG_T5_S127_host_removed_R1.fastq.gz,ID049,MG,T5,This study
TG_ID083_WG_T3_S170_host_removed_R2.fastq.gz,ID083,WG,T3,This study
TG_ID048_MG_T4_S13_host_removed_R1.fastq.gz,ID048,MG,T4,This study
TG_ID089_WG_T4_S49_host_removed_R2.fastq.gz,ID089,WG,T4,This study
TG_ID049_ML_T6_S33_host_removed_R2.fastq.gz,ID049,ML,T6,This study
TG_ID014_ML_T3_S81_host_removed_R2.fastq.gz,ID014,ML,T3,This study
TG_ID061_WL_T3_S116_host_removed_R2.fastq.gz,ID061,WL,T3,This study
TG_ID061_WG_T5_S133_host_removed_R1.fastq.gz,ID061,WG,T5,This study
TG_ID010_MG_T4_S61_host_removed_R2.fastq.gz,ID010,MG,T4,This study
TG_ID032_ML_T3_S152_host_removed_R2.fastq.gz,ID032,ML,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID062_WL_T3_S98_host_removed_R2.fastq.gz,ID062,WL,T3,This study
TG_ID107_WL_T1_S86_host_removed_R1.fastq.gz,ID107,WL,T1,This study
TG_AP_T1_WL_0AN_S351_host_removed_R1.fastq.gz,AP,WL,T0,This study
TG_ID048_MG_T6_S43_host_removed_R2.fastq.gz,ID048,MG,T6,This study
TG_ID037_ML_T3_S185_host_removed_R2.fastq.gz,ID037,ML,T3,This study
TG_EC_S72_host_removed_R1.fastq.gz,EC,Extraction control,T0,This study
TG_LO_T1_S167_host_removed_R1.fastq.gz,LO,ML,T0,This study
TG_FG_T1_WL_0AE_S326_host_removed_R1.fastq.gz,FG,WL,T0,This study
TG_ID020_MG_T1_S106_host_removed_R2.fastq.gz,ID020,MG,T1,This study
TG_ID070_WL_T1_S105_host_removed_R2.fastq.gz,ID070,WL,T1,This study
TG_ID012_MG_T2_S311_host_removed_R2.fastq.gz,ID012,MG,T2,This study
TG_ID110_WL_T3_S26_host_removed_R2.fastq.gz,ID110,WL,T3,This study
TG_ID086_WG_T5_S89_host_removed_R1.fastq.gz,ID086,WG,T5,This study
TG_ID070_WG_T5_S32_host_removed_R2.fastq.gz,ID070,WG,T5,This study
TG_ID029_MG_T2_S67_host_removed_R1.fastq.gz,ID029,MG,T2,This study
TG_ID090_WL_T1_S306_host_removed_R2.fastq.gz,ID090,WL,T1,This study
TG_ID070_WL_T2_S20_host_removed_R1.fastq.gz,ID070,WL,T2,This study
TG_GO_MLC2_S143_host_removed_R1.fastq.gz,GO,Medium control,T0,This study
TG_ID054_MG_T5_S93_host_removed_R2.fastq.gz,ID054,MG,T5,This study
TG_ID050_ML_T2_S144_host_removed_R1.fastq.gz,ID050,ML,T2,This study
TG_ID056_WL_T2_S47_host_removed_R1.fastq.gz,ID056,WL,T2,This study
TG_ID037_ML_T6_S81_host_removed_R1.fastq.gz,ID037,ML,T6,This study
TG_ID085_WG_T4_S41_host_removed_R2.fastq.gz,ID085,WG,T4,This study
TG_ID084_WG_T3_S146_host_removed_R1.fastq.gz,ID084,WG,T3,This study
TG_ID103_WL_T1_S68_host_removed_R2.fastq.gz,ID103,WL,T1,This study
TG_ID011_ML_T6_S52_host_removed_R1.fastq.gz,ID011,ML,T6,This study
TG_ID092_WG_T3_S58_host_removed_R2.fastq.gz,ID092,WG,T3,This study
TG_ID060_WG_T6_S121_host_removed_R2.fastq.gz,ID060,WG,T6,This study
TG_ID032_MG_T3_S166_host_removed_R1.fastq.gz,ID032,MG,T3,This study
TG_ID084_WG_T5_S41_host_removed_R2.fastq.gz,ID084,WG,T5,This study
TG_FU_MLC2_S155_host_removed_R1.fastq.gz,FU,Medium control,T0,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID086_WL_T4_S44_host_removed_R1.fastq.gz,ID086,WL,T4,This study
TG_ID083_WL_T3_S182_host_removed_R1.fastq.gz,ID083,WL,T3,This study
TG_ID058_WG_T5_S60_host_removed_R2.fastq.gz,ID058,WG,T5,This study
TG_ID056_WL_T5_S95_host_removed_R1.fastq.gz,ID056,WL,T5,This study
TG_ID070_WG_T1_S188_host_removed_R2.fastq.gz,ID070,WG,T1,This study
TG_ID082_WG_T5_S131_host_removed_R2.fastq.gz,ID082,WG,T5,This study
TG_ID087_WL_T5_S30_host_removed_R1.fastq.gz,ID087,WL,T5,This study
TG_ID029_ML_T2_S79_host_removed_R2.fastq.gz,ID029,ML,T2,This study
TG_ID036_MG_T6_S91_host_removed_R2.fastq.gz,ID036,MG,T6,This study
TG_ID096_WG_T1_S56_host_removed_R1.fastq.gz,ID096,WG,T1,This study
TG_ID020_ML_T1_S142_host_removed_R2.fastq.gz,ID020,ML,T1,This study
TG_FU_MLC2_S155_host_removed_R2.fastq.gz,FU,Medium control,T0,This study
TG_ID093_WL_T1_S171_host_removed_R1.fastq.gz,ID093,WL,T1,This study
TG_ID069_WG_T1_S105_host_removed_R2.fastq.gz,ID069,WG,T1,This study
TG_ID088_WL_T5_S54_host_removed_R1.fastq.gz,ID088,WL,T5,This study
TG_ID107_WG_T3_S137_host_removed_R2.fastq.gz,ID107,WG,T3,This study
TG_ID048_ML_T6_S55_host_removed_R1.fastq.gz,ID048,ML,T6,This study
TG_ID089_WL_T3_S124_host_removed_R1.fastq.gz,ID089,WL,T3,This study
TG_ID060_WL_T3_S109_host_removed_R1.fastq.gz,ID060,WL,T3,This study
TG_ID029_ML_T2_S79_host_removed_R1.fastq.gz,ID029,ML,T2,This study
TG_ID097_WG_T4_S31_host_removed_R2.fastq.gz,ID097,WG,T4,This study
TG_ID062_WG_T1_S128_host_removed_R2.fastq.gz,ID062,WG,T1,This study
TG_ID096_WG_T1_S56_host_removed_R2.fastq.gz,ID096,WG,T1,This study
TG_ID070_WL_T4_S64_host_removed_R1.fastq.gz,ID070,WL,T4,This study
TG_ID115_ML_T1_S122_host_removed_R2.fastq.gz,ID115,ML,T1,This study
TG_ID110_WL_T6_S117_host_removed_R1.fastq.gz,ID110,WL,T6,This study
TG_ID036_ML_T5_S149_host_removed_R2.fastq.gz,ID036,ML,T5,This study
TG_ID084_WL_T3_S158_host_removed_R2.fastq.gz,ID084,WL,T3,This study
TG_ID036_MG_T6_S91_host_removed_R1.fastq.gz,ID036,MG,T6,This study
TG_ID115_MG_T2_S94_host_removed_R1.fastq.gz,ID115,MG,T2,This study
TG_ID037_ML_T2_S173_host_removed_R2.fastq.gz,ID037,ML,T2,This study
TG_ID010_ML_T5_S120_host_removed_R1.fastq.gz,ID010,ML,T5,This study
TG_ID083_WG_T1_S342_host_removed_R1.fastq.gz,ID083,WG,T1,This study
TG_FL_T1_WL_0AN_S339_host_removed_R2.fastq.gz,FL,WL,T0,This study
TG_ID107_WL_T4_S110_host_removed_R2.fastq.gz,ID107,WL,T4,This study
TG_ID054_MG_T6_S22_host_removed_R2.fastq.gz,ID054,MG,T6,This study
TG_ID089_WL_T3_S124_host_removed_R1.fastq.gz,ID089,WL,T3,This study
TG_ID026_ML_T4_S151_host_removed_R1.fastq.gz,ID026,ML,T4,This study
TG_ID050_MG_T1_S180_host_removed_R2.fastq.gz,ID050,MG,T1,This study
TG_ID050_ML_T6_S179_host_removed_R2.fastq.gz,ID050,ML,T6,This study
TG_ID042_MG_T3_S347_host_removed_R1.fastq.gz,ID042,MG,T3,This study
TG_ID089_WL_T5_S78_host_removed_R1.fastq.gz,ID089,WL,T5,This study
TG_ID011_MG_T5_S110_host_removed_R2.fastq.gz,ID011,MG,T5,This study
TG_ID056_WL_T4_S34_host_removed_R1.fastq.gz,ID056,WL,T4,This study
TG_ID056_WG_T2_S35_host_removed_R1.fastq.gz,ID056,WG,T2,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID012_MG_T4_S74_host_removed_R2.fastq.gz,ID012,MG,T4,This study
TG_ID103_WL_T3_S70_host_removed_R2.fastq.gz,ID103,WL,T3,This study
TG_ID097_WL_T5_S9_host_removed_R1.fastq.gz,ID097,WL,T5,This study
TG_ID062_WG_T1_S128_host_removed_R2.fastq.gz,ID062,WG,T1,This study
TG_ID037_ML_T4_S30_host_removed_R2.fastq.gz,ID037,ML,T4,This study
TG_ID029_MG_T3_S142_host_removed_R1.fastq.gz,ID029,MG,T3,This study
TG_ID086_WG_T1_S378_host_removed_R2.fastq.gz,ID086,WG,T1,This study
TG_ID079_WG_T2_S128_host_removed_R1.fastq.gz,ID079,WG,T2,This study
TG_ID090_WG_T3_S136_host_removed_R2.fastq.gz,ID090,WG,T3,This study
TG_ID088_WG_T5_S42_host_removed_R1.fastq.gz,ID088,WG,T5,This study
TG_ID110_WG_T4_S21_host_removed_R1.fastq.gz,ID110,WG,T4,This study
TG_ID086_WL_T5_S6_host_removed_R1.fastq.gz,ID086,WL,T5,This study
TG_ID043_MG_T3_S169_host_removed_R1.fastq.gz,ID043,MG,T3,This study
TG_ID029_MG_T3_S142_host_removed_R1.fastq.gz,ID029,MG,T3,This study
TG_ID088_WL_T3_S100_host_removed_R1.fastq.gz,ID088,WL,T3,This study
TG_ID097_WG_T2_S184_host_removed_R1.fastq.gz,ID097,WG,T2,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID054_ML_T2_S163_host_removed_R1.fastq.gz,ID054,ML,T2,This study
TG_ID093_WG_T1_S163_host_removed_R1.fastq.gz,ID093,WG,T1,This study
TG_ID062_WL_T1_S140_host_removed_R1.fastq.gz,ID062,WL,T1,This study
TG_ID082_WG_T3_S129_host_removed_R2.fastq.gz,ID082,WG,T3,This study
TG_ID125_ML_T5_S120_host_removed_R2.fastq.gz,ID125,ML,T5,This study
TG_ID052_MG_T4_S78_host_removed_R2.fastq.gz,ID052,MG,T4,This study
TG_ID043_MG_T3_S169_host_removed_R1.fastq.gz,ID043,MG,T3,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID107_WL_T6_S112_host_removed_R2.fastq.gz,ID107,WL,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID056_WL_T3_S71_host_removed_R2.fastq.gz,ID056,WL,T3,This study
TG_ID037_MG_T6_S69_host_removed_R2.fastq.gz,ID037,MG,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID125_MG_T1_S178_host_removed_R2.fastq.gz,ID125,MG,T1,This study
TG_ID029_MG_T5_S154_host_removed_R1.fastq.gz,ID029,MG,T5,This study
TG_ID043_MG_T1_S150_host_removed_R1.fastq.gz,ID043,MG,T1,This study
TG_ID049_ML_T6_S33_host_removed_R2.fastq.gz,ID049,ML,T6,This study
TG_ID061_WG_T1_S364_host_removed_R1.fastq.gz,ID061,WG,T1,This study
TG_ID090_WG_T5_S90_host_removed_R1.fastq.gz,ID090,WG,T5,This study
TG_ID012_ML_T4_S140_host_removed_R1.fastq.gz,ID012,ML,T4,This study
TG_ID048_MG_T5_S19_host_removed_R1.fastq.gz,ID048,MG,T5,This study
TG_ID092_WG_T1_S343_host_removed_R1.fastq.gz,ID092,WG,T1,This study
TG_ID011_ML_T6_S52_host_removed_R2.fastq.gz,ID011,ML,T6,This study
TG_ID043_ML_T6_S174_host_removed_R2.fastq.gz,ID043,ML,T6,This study
TG_ID083_WG_T2_S357_host_removed_R1.fastq.gz,ID083,WG,T2,This study
TG_ID020_ML_T1_S142_host_removed_R1.fastq.gz,ID020,ML,T1,This study
TG_ID110_WG_T1_S166_host_removed_R1.fastq.gz,ID110,WG,T1,This study
TG_ID058_WG_T4_S35_host_removed_R1.fastq.gz,ID058,WG,T4,This study
TG_ID061_WL_T5_S145_host_removed_R1.fastq.gz,ID061,WL,T5,This study
TG_ID049_MG_T6_S134_host_removed_R1.fastq.gz,ID049,MG,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID050_ML_T3_S156_host_removed_R2.fastq.gz,ID050,ML,T3,This study
TG_ID089_WL_T3_S124_host_removed_R2.fastq.gz,ID089,WL,T3,This study
TG_ID043_ML_T2_S186_host_removed_R2.fastq.gz,ID043,ML,T2,This study
TG_ID052_MG_T1_S290_host_removed_R1.fastq.gz,ID052,MG,T1,This study
TG_ID125_ML_T4_S12_host_removed_R2.fastq.gz,ID125,ML,T4,This study
TG_ID097_WG_T2_S184_host_removed_R2.fastq.gz,ID097,WG,T2,This study
TG_ID092_WL_T4_S23_host_removed_R1.fastq.gz,ID092,WL,T4,This study
TG_ID029_ML_T1_S145_host_removed_R1.fastq.gz,ID029,ML,T1,This study
TG_ID049_MG_T5_S127_host_removed_R1.fastq.gz,ID049,MG,T5,This study
TG_ID115_MG_T6_S98_host_removed_R1.fastq.gz,ID115,MG,T6,This study
TG_ID029_ML_T6_S87_host_removed_R2.fastq.gz,ID029,ML,T6,This study
TG_ID113_WG_T6_S100_host_removed_R1.fastq.gz,ID113,WG,T6,This study
TG_ID085_WL_T3_S111_host_removed_R1.fastq.gz,ID085,WL,T3,This study
TG_ID052_ML_T3_S76_host_removed_R1.fastq.gz,ID052,ML,T3,This study
TG_ID097_WL_T4_S32_host_removed_R1.fastq.gz,ID097,WL,T4,This study
TG_ID042_ML_T1_S114_host_removed_R1.fastq.gz,ID042,ML,T1,This study
TG_ID090_WL_T5_S7_host_removed_R2.fastq.gz,ID090,WL,T5,This study
TG_FU_MLC_S107_host_removed_R2.fastq.gz,FU,Medium control,T0,This study
TG_ID060_WG_T2_S175_host_removed_R2.fastq.gz,ID060,WG,T2,This study
TG_ID052_MG_T3_S64_host_removed_R2.fastq.gz,ID052,MG,T3,This study
TG_ID097_WG_T3_S165_host_removed_R2.fastq.gz,ID097,WG,T3,This study
TG_ID053_MG_T2_S371_host_removed_R1.fastq.gz,ID053,MG,T2,This study
TG_ID060_WG_T2_S175_host_removed_R1.fastq.gz,ID060,WG,T2,This study
TG_GO_MLC2_S143_host_removed_R1.fastq.gz,GO,Medium control,T0,This study
TG_ID054_ML_T2_S163_host_removed_R2.fastq.gz,ID054,ML,T2,This study
TG_ID049_MG_T2_S302_host_removed_R2.fastq.gz,ID049,MG,T2,This study
TG_ID088_WL_T4_S48_host_removed_R1.fastq.gz,ID088,WL,T4,This study
TG_ID029_MG_T2_S67_host_removed_R1.fastq.gz,ID029,MG,T2,This study
TG_ID083_WG_T3_S170_host_removed_R1.fastq.gz,ID083,WG,T3,This study
TG_EC_S72_host_removed_R2.fastq.gz,EC,Extraction control,T0,This study
TG_ID042_ML_T3_S138_host_removed_R1.fastq.gz,ID042,ML,T3,This study
TG_ID085_WG_T5_S65_host_removed_R2.fastq.gz,ID085,WG,T5,This study
TG_ID103_WG_T1_S67_host_removed_R1.fastq.gz,ID103,WG,T1,This study
TG_ID124_ML_T1_S8_host_removed_R1.fastq.gz,ID124,ML,T1,This study
TG_ID086_WL_T2_S310_host_removed_R1.fastq.gz,ID086,WL,T2,This study
TG_ID124_ML_T6_S119_host_removed_R2.fastq.gz,ID124,ML,T6,This study
TG_ID085_WL_T1_S341_host_removed_R2.fastq.gz,ID085,WL,T1,This study
TG_ID014_ML_T2_S4_host_removed_R1.fastq.gz,ID014,ML,T2,This study
TG_ID042_MG_T4_S170_host_removed_R1.fastq.gz,ID042,MG,T4,This study
TG_ID115_MG_T6_S98_host_removed_R2.fastq.gz,ID115,MG,T6,This study
TG_ID011_ML_T6_S52_host_removed_R1.fastq.gz,ID011,ML,T6,This study
TG_ID010_ML_T3_S108_host_removed_R1.fastq.gz,ID010,ML,T3,This study
TG_ID056_WG_T2_S35_host_removed_R1.fastq.gz,ID056,WG,T2,This study
TG_ID096_WL_T1_S117_host_removed_R1.fastq.gz,ID096,WL,T1,This study
TG_ID083_WL_T4_S40_host_removed_R2.fastq.gz,ID083,WL,T4,This study
TG_ID042_MG_T1_S102_host_removed_R1.fastq.gz,ID042,MG,T1,This study
TG_ID092_WG_T4_S17_host_removed_R2.fastq.gz,ID092,WG,T4,This study
TG_ID089_WG_T5_S66_host_removed_R2.fastq.gz,ID089,WG,T5,This study
TG_ID009_ML_T6_S28_host_removed_R1.fastq.gz,ID009,ML,T6,This study
TG_FG_T2_WL_0AE_S374_host_removed_R2.fastq.gz,FG,WL,T0,This study
TG_ID053_ML_T5_S114_host_removed_R1.fastq.gz,ID053,ML,T5,This study
TG_ID107_WL_T4_S110_host_removed_R2.fastq.gz,ID107,WL,T4,This study
TG_ID085_WL_T4_S42_host_removed_R2.fastq.gz,ID085,WL,T4,This study
TG_AP_T2_WL_0AN_S304_host_removed_R1.fastq.gz,AP,WL,T0,This study
TG_ID037_MG_T4_S29_host_removed_R1.fastq.gz,ID037,MG,T4,This study
TG_FU_MLC_S107_host_removed_R1.fastq.gz,FU,Medium control,T0,This study
